date,codigo,vencimento,ajuste_anterior,ajuste_atual,variacao,taxa,contratos,volume
2026-01-02,BGI,F26,,317.0,1.17,,3067.0,318549115.5
2026-01-02,BGI,G26,,318.25,0.91,,2345.0,244578741.0
2026-01-02,BGI,H26,,323.8,0.48,,329.0,34996054.5
2026-01-02,BGI,J26,,322.4,-0.03,,139.0,14765784.0
2026-01-02,BGI,K26,,323.5,0.26,,316.0,33650661.0
2026-01-02,BGI,M26,,326.95,0.63,,4.0,430501.5
2026-01-02,BGI,N26,,332.05,,,,
2026-01-02,BGI,Q26,,333.6,-0.44,,10.0,1094247.0
2026-01-02,BGI,U26,,340.45,-0.46,,1.0,112068.0
2026-01-02,BGI,V26,,344.9,-0.47,,9.0,1026316.5
2026-01-02,CCM,F26,,70.0,-0.42,,2200.0,69325083.0
2026-01-02,CCM,F27,,76.36,-1.89,,39.0,1319580.0
2026-01-02,CCM,H26,,74.05,-0.41,,2663.0,88817071.5
2026-01-02,CCM,H27,,77.73,-1.69,,37.0,1277055.0
2026-01-02,CCM,K26,,73.22,-0.69,,675.0,22284063.0
2026-01-02,CCM,K27,,73.22,,,,
2026-01-02,CCM,N26,,70.39,-0.57,,96.0,3048948.0
2026-01-02,CCM,U26,,69.37,-0.44,,711.0,22202514.0
2026-01-02,CCM,X26,,72.26,0.12,,166.0,5426001.0
2026-01-02,DDI,F26,,100000.0,,0.0,,
2026-01-02,DDI,F27,,94001.11,21.99,6.26,2030.0,526326768.1
2026-01-02,DDI,F28,,89916.12,14.32,5.523,6.0,1484263.32
2026-01-02,DDI,F29,,85878.9,,5.401,,
2026-01-02,DDI,F30,,81817.37,7.88,5.476,6.0,1350575.64
2026-01-02,DDI,F31,,77746.86,6.39,5.643,4.0,855588.64
2026-01-02,DDI,F32,,73724.42,,5.856,,
2026-01-02,DDI,F33,,69890.49,,6.063,,
2026-01-02,DDI,F34,,66095.02,,6.32,,
2026-01-02,DDI,F35,,62561.91,,6.554,,
2026-01-02,DDI,F36,,59245.4,,6.781,,
2026-01-02,DDI,F37,,55852.51,,7.082,,
2026-01-02,DDI,F38,,52708.71,,7.366,,
2026-01-02,DDI,F39,,49801.41,,7.641,,
2026-01-02,DDI,F40,,47099.7,,7.908,,
2026-01-02,DDI,G26,,98098.58,215.34,22.509,11029.0,2988754974.72
2026-01-02,DDI,H26,,97734.47,,14.144,,
2026-01-02,DDI,J26,,97347.4,,11.022,,
2026-01-02,DDI,J27,,93047.42,,5.925,,
2026-01-02,DDI,J28,,88951.09,,5.44,,
2026-01-02,DDI,J29,,84913.47,,5.393,,
2026-01-02,DDI,J30,,80895.7,,5.485,,
2026-01-02,DDI,J31,,76702.39,,5.71,,
2026-01-02,DDI,K26,,96932.21,,9.339,,
2026-01-02,DDI,M26,,96585.31,,8.485,,
2026-01-02,DDI,N26,,96226.48,,7.843,,
2026-01-02,DDI,N27,,92040.92,19.72,5.712,6.0,1519337.82
2026-01-02,DDI,N28,,87987.98,,5.383,,
2026-01-02,DDI,N29,,83899.32,,5.41,,
2026-01-02,DDI,N30,,79879.0,,5.526,,
2026-01-02,DDI,N31,,75744.06,,5.747,,
2026-01-02,DDI,Q26,,95817.27,,7.378,,
2026-01-02,DDI,Q27,,91700.31,,5.647,,
2026-01-02,DDI,U26,,95474.04,,7.052,,
2026-01-02,DDI,V26,,95112.61,,6.801,,
2026-01-02,DDI,V27,,90977.13,,5.605,,
2026-01-02,DDI,V28,,86917.5,,5.397,,
2026-01-02,DDI,V29,,82864.05,,5.442,,
2026-01-02,DDI,V30,,78918.96,,5.549,,
2026-01-02,DDI,V31,,74718.27,,5.806,,
2026-01-02,DDI,X26,,94731.81,,6.564,,
2026-01-02,DDI,Z26,,94407.58,,6.404,,
2026-01-02,DI1,F26,,100000.0,,14.9,,
2026-01-02,DI1,F27,,88082.22,-0.74,13.704,486753.0,42864566906.26
